id,category,subcategory,title,system,user_template,best_model,notes
OPS-009,status,Weekly team status update,Weekly team status update,You write weekly team status updates that don't put readers to sleep.,"Team: {{teamName}}. Goals this week: {{goals}}. Wins: {{wins}}. Blockers: {{blockers}}. Output: 250-word update with TL;DR, then sections.",Claude 3.5 Sonnet,"Lead with what changed since last week, not full status."
OPS-010,status,Quarterly business review (QBR),Quarterly business review (QBR),You structure QBR documents for cross-functional alignment.,"Quarter: {{Q}}. Team: {{team}}. Goals + outcomes: {{goalOutcomes}}. Output: QBR outline. Sections: results vs goal, key wins, key misses, learnings, next-quarter focus.",Claude 3.5 Sonnet,QBR should answer 'what we'll do differently' more than 'what we did.'
OPS-011,ops-design,Tool migration plan,Tool migration plan,You build tool migration plans without rip-and-replace risk.,"Migrate from {{oldTool}} to {{newTool}}. Users: {{userCount}}. Data: {{dataVolume}}. Output: 4-phase plan (pilot, parallel run, cutover, decommission) with risks + mitigations per phase.",Claude 3.5 Sonnet,Parallel-run > cutover for any critical system.
OPS-012,ops-design,Permission/access audit,Permission/access audit,You audit team access for over-permissioned accounts.,"Tool: {{tool}}. Access list: {{accessList}}. Output: 3 high-risk over-permissioned accounts, 2 'access should be removed' recommendations, 1 process improvement.",Claude 3.5 Sonnet,Audit quarterly. Permission sprawl is silent risk.
OPS-013,ops-design,Vendor evaluation matrix,Vendor evaluation matrix,You design vendor evaluation matrices.,Need: {{need}}. Vendors shortlisted: {{vendorList}}. Output: 10-criteria matrix with weight per criterion + 'must have' vs 'nice to have' tagging.,Claude 3.5 Sonnet,Define must-haves before seeing demos. Otherwise vendor charisma sways.
OPS-014,onboarding,New hire 30-60-90 day plan,New hire 30-60-90 day plan,You design new-hire onboarding plans.,"Role: {{role}}. Team: {{team}}. Output: 30-60-90 day plan. Each phase: learning goals, deliverables, key stakeholder intros, success criteria, milestone check-in.",Claude 3.5 Sonnet,Set success criteria in writing. Don't leave new hires guessing.
OPS-015,onboarding,New hire welcome doc,New hire welcome doc,You write welcome documents for new hires.,"Company: {{company}}. New hire: {{name}}. Role: {{role}}. Output: welcome doc covering culture, first-week schedule, tools to set up, who to meet, glossary of internal acronyms.",Claude 3.5 Sonnet,Glossary is the most-thanked-for item by new hires.
OPS-016,exit,Departing employee knowledge transfer,Departing employee knowledge transfer,You design knowledge-transfer plans for departing employees.,"Employee: {{name}}. Role: {{role}}. Departure date: {{date}}. Output: 4-week transfer plan covering documentation, shadow-back, hand-off list, system access transitions.",Claude 3.5 Sonnet,"Start 4 weeks out. 2-week notice = panic, gaps."
OPS-017,incident,Incident postmortem template,Incident postmortem template,You write blameless incident postmortems.,"Incident: {{incidentSummary}}. Impact: {{impact}}. Duration: {{duration}}. Output postmortem: Summary, Timeline (UTC), Root cause, Contributing factors, Action items with owners + dates, Lessons.",Claude 3.5 Sonnet,"Blameless means systems-level, not 'X person screwed up.'"
OPS-018,incident,Status page update,Status page update,You write status page updates during incidents.,Incident: {{type}}. Severity: {{severity}}. Impact: {{impact}}. Stage: {{stage}}. Output: current status page entry. Be specific without speculating. Update tone: factual.,Claude 3.5 Sonnet,"Update every 30 min, even if 'still investigating.'"
OPS-019,ops-metrics,Ops KPI dashboard design,Ops KPI dashboard design,You design ops KPI dashboards that drive action.,"Function: {{function}}. Goals: {{goals}}. Output: 5 leading + 5 lagging KPIs. Each: metric, target, owner, refresh cadence, action threshold (when to investigate).",Claude 3.5 Sonnet,Bias toward leading indicators. Lagging tells you what already happened.
OPS-020,ops-metrics,Weekly KPI digest,Weekly KPI digest,You generate weekly KPI digest emails.,"Data: {{dataBlock}}. Audience: {{audience}}. Output: 200-word digest covering: 3 numbers up, 3 numbers down, 1 anomaly to investigate.",Claude 3.5 Sonnet,Anomaly callouts > exhaustive metric dump.
OPS-021,vendor,Vendor renewal negotiation,Vendor renewal negotiation,You prepare for vendor renewal negotiations.,Vendor: {{vendor}}. Current spend: ${{spend}}/yr. Usage trend: {{trend}}. Output: 5-question negotiation prep doc + 3 specific asks + walkaway point.,Claude 3.5 Sonnet,Walkaway point is leverage. Have it written before the call.
OPS-022,vendor,Contract red-flag review,Contract red-flag review,You spot red flags in vendor contracts.,"Contract text: {{contractText}}. Output: top 5 red flags with: clause quote, risk, suggested redline.",Claude 3.5 Sonnet,Not legal advice. Always lawyer-review before signing.
OPS-023,remote-work,Async work guideline,Async work guideline,You design async work guidelines for distributed teams.,"Team: {{teamSize}} across {{timezones}} timezones. Output: 5-rule async working guide covering communication, decisions, documentation, meetings, response-time expectations.",Claude 3.5 Sonnet,Default to async. Sync time is expensive.
OPS-024,remote-work,Communication norms doc,Communication norms doc,You codify team communication norms.,"Channels: {{channels}}. Output: doc covering which channel for what (Slack vs email vs docs vs meeting), response expectations per channel, escalation paths.",Claude 3.5 Sonnet,Codify defaults. Reduce decision fatigue.
OPS-025,scheduling,Calendar audit,Calendar audit,You audit personal/team calendars for waste.,Calendar log: {{calendarBlock}}. Output: 3 recurring meetings to cancel/shorten + 1 'block of focus time you don't have' recommendation.,Claude 3.5 Sonnet,"If you can't articulate the meeting's decision in 1 sentence, kill it."
OPS-026,scheduling,Time-block weekly planner,Time-block weekly planner,You design time-block weekly schedules.,"Person: {{role}}. Goals this week: {{goals}}. Output: time-blocked schedule for Mon-Fri. Bias toward deep work mornings, comms afternoons.",Claude 3.5 Sonnet,Don't try to block 8 hrs/day for deep work. 3 hrs is the realistic ceiling.
OPS-027,playbook,Operating playbook section,Operating playbook section,You write playbook sections for the ops function.,"Function: {{function}}. Process: {{process}}. Output: playbook section with Goal, Triggers, Steps (numbered), Tools used, Owner, Frequency, Success metric, Common pitfalls.",Claude 3.5 Sonnet,Update quarterly. Stale playbooks lose trust fast.
OPS-028,playbook,Runbook for recurring task,Runbook for recurring task,You write runbooks for tasks that need to be repeatable.,"Task: {{task}}. Frequency: {{frequency}}. Output: runbook with prerequisites, step-by-step actions, verification at each step, rollback if step fails, success criteria.",Claude 3.5 Sonnet,"Runbook ≠ SOP. Runbook is executable, SOP is procedural."
OPS-029,improvement,Continuous improvement retro,Continuous improvement retro,You facilitate continuous improvement retrospectives.,"Sprint/period: {{period}}. Team: {{team}}. Output: retro template with 4 sections (start, stop, continue, action items). Include 'how to keep retros from getting stale' tips.",Claude 3.5 Sonnet,Action items > venting. Always close the loop next retro.
OPS-030,improvement,Process improvement proposal,Process improvement proposal,You write process improvement proposals.,"Current process: {{current}}. Pain: {{pain}}. Proposed change: {{proposal}}. Output: 1-page proposal with current vs proposed, expected impact (quantified), implementation cost, risks, decision deadline.",Claude 3.5 Sonnet,Quantified impact > vibes. 'Saves 10 hrs/week' beats 'more efficient.'
FIN-001,modeling,Simple SaaS financial model,Simple SaaS financial model,You build SaaS financial models.,"Inputs: starting ARR ${{arr}}, growth rate {{rate}}%, churn {{churn}}%, gross margin {{margin}}%. Output: 12-month projection with revenue, churn, net new ARR, gross profit.",Claude 3.5 Sonnet,Math first. Narrative second. Don't smooth lines.
FIN-002,modeling,Burn rate + runway calculator,Burn rate + runway calculator,You calculate burn rate and runway honestly.,"Cash: ${{cash}}. Monthly burn: ${{burn}}. Growth trajectory: {{trajectory}}. Output: runway months, breakeven date if growth holds, 3 scenarios (base, bear, bull).",Claude 3.5 Sonnet,Always include bear case. Optimism kills startups.
FIN-003,modeling,Pricing model design,Pricing model design,You design B2B pricing models.,"Product: {{product}}. Audience: {{audience}}. Value delivered: {{valueMetric}}. Output: 3 pricing tier proposals (good/better/best) with price points, feature differentiation, audience justification.",Claude 3.5 Sonnet,Anchor with the highest tier. Don't lead with cheap.
FIN-004,modeling,Unit economics breakdown,Unit economics breakdown,You break down unit economics.,"Inputs: ACV ${{acv}}, CAC ${{cac}}, payback {{payback}} months, gross margin {{margin}}%. Output: LTV calculation, LTV:CAC ratio, payback period assessment, 'is this business viable' verdict.",Claude 3.5 Sonnet,LTV:CAC > 3 is healthy. < 1 is broken. 1-3 is 'invest in retention.'
FIN-005,reporting,Monthly investor update,Monthly investor update,You write monthly investor updates that earn introductions.,"Period: {{month}}. Highlights: {{highlights}}. Lowlights: {{lowlights}}. KPIs: {{kpiBlock}}. Output: investor update covering: TL;DR, KPIs, wins, asks, runway.",Claude 3.5 Sonnet,Asks specific. 'Looking for warm intros to {{X}}' > 'general intros welcome.'
FIN-006,reporting,Board deck for QBR,Board deck for QBR,You write board decks for quarterly business reviews.,Quarter: {{Q}}. Topics to cover: {{topics}}. Output: 10-slide outline. Slides 1-2: TL;DR + KPIs. Slides 3-7: deep-dives. Slides 8-10: outlook + asks.,Claude 3.5 Sonnet,Bias toward 'what we'll do differently' content.
FIN-007,reporting,Expense report category descriptor,Expense report category descriptor,You summarize expense categories for monthly review.,"Category: {{category}}. Spend MoM: {{spendChange}}. Top vendors: {{vendors}}. Output: 100-word summary covering 'what changed', 'what we got for it', 'next month plan'.",Claude 3.5 Sonnet,Spend justification > spend listing.
FIN-008,budgeting,Annual budget framework,Annual budget framework,You help structure annual budget exercises.,"Year: {{year}}. Revenue target: ${{revTarget}}. Last year actual: ${{lastYearRev}}. Output: budget framework with: revenue assumptions, headcount plan, OpEx categories with growth %, contingency reserve, board approval checkpoints.",Claude 3.5 Sonnet,Plan 110% of revenue target. Be 90% confident you hit 100%.
FIN-009,budgeting,Department budget request rubric,Department budget request rubric,You write budget request rubrics that filter signal from noise.,"Department: {{dept}}. Last year actual: ${{spent}}. Output: 5-question rubric they need to answer per line item: outcome tied to spend, alternatives considered, what gets cut if denied.",Claude 3.5 Sonnet,Force opportunity-cost thinking. Best budget asks include their own backup plan.
FIN-010,fundraising,Pitch deck outline,Pitch deck outline,You outline B2B SaaS pitch decks for fundraising.,"Stage: {{stage}} (pre-seed, seed, Series A). Raising: ${{amount}}. Output: 12-slide outline with: problem, solution, traction, market, business model, competition, team, ask, use of funds.",Claude 3.5 Sonnet,Slide order: traction earlier > team earlier > market earlier. Adjust based on what's strongest.
FIN-011,fundraising,Investor FAQ prep,Investor FAQ prep,You anticipate investor questions.,"Pitch summary: {{summary}}. Stage: {{stage}}. Output: 20 questions investors will ask in due diligence. Group by: business, market, team, financials, product, risk.",Claude 3.5 Sonnet,Prep answers to the 20 most-likely. You'll get 14 of them.
FIN-012,fundraising,Investor outreach email,Investor outreach email,You write investor outreach that earns meetings.,Investor: {{investorName}}. Their thesis: {{theirThesis}}. Our fit: {{ourFit}}. Output: 150-word email pitching a 30-min intro call.,Claude 3.5 Sonnet,"Lead with 1-line traction. Investors are scanning, not reading."
FIN-013,cash,Cash collection follow-up,Cash collection follow-up,You write AR follow-up emails firmly but professionally.,"Customer: {{customer}}. Invoice age: {{daysOverdue}} days. Output: escalation-tier email (mild, firm, escalation). Use the right tier for the age.",Claude 3.5 Sonnet,Mild < 14 days. Firm 14-30. Escalation 30+. Don't skip tiers.
FIN-014,cash,Dunning sequence design,Dunning sequence design,You design dunning sequences for failed payments.,"Failure trigger: {{trigger}}. Customer segment: {{segment}}. Output: 4-touch dunning sequence (day 1, 3, 7, 14) with messages that recover payment without churn.",Claude 3.5 Sonnet,Each touch a different escalation. Day 14 = pause service if no response.
FIN-015,accounting,Account reconciliation checklist,Account reconciliation checklist,You design account reconciliation checklists.,"Account: {{accountName}}. Frequency: {{freq}}. Output: month-end reconciliation checklist covering: opening balance verify, transaction trace, exception identification, sign-off owner.",Claude 3.5 Sonnet,Exceptions list is the value. Don't bury them.
FIN-016,accounting,Journal entry templates,Journal entry templates,You write GL journal entry templates.,"Transaction type: {{transactionType}}. Frequency: {{freq}}. Output: journal entry template with debits/credits, account names, narrative, supporting doc requirements.",Claude 3.5 Sonnet,Always document the 'why' alongside the 'what.'
FIN-017,tax,Tax document checklist,Tax document checklist,You list tax document requirements.,Entity: {{entityType}}. Fiscal year-end: {{date}}. Country: {{country}}. Output: 15-item document checklist for year-end tax prep.,Claude 3.5 Sonnet,Not tax advice. Have a CPA validate.
FIN-018,compliance,SOC 2 evidence collection plan,SOC 2 evidence collection plan,You plan SOC 2 evidence collection.,Audit window: {{startDate}} to {{endDate}}. Controls in scope: {{controls}}. Output: 8-week evidence collection plan with weekly milestones + responsible parties.,Claude 3.5 Sonnet,Start at week -16. Cramming = audit findings.
FIN-019,compliance,Audit response template,Audit response template,You write audit response templates that minimize follow-ups.,"Audit question: {{question}}. Our process: {{processDescription}}. Output: 200-word response covering: what we do, evidence, frequency, owner, exception handling.",Claude 3.5 Sonnet,Anticipate the follow-up. Include it in the first answer.
FIN-020,forecasting,Revenue forecast model,Revenue forecast model,You build revenue forecast models.,"Pipeline: {{pipelineBlock}}. Conversion rates: {{rates}}. Output: 90-day revenue forecast with: committed, best case, worst case, confidence intervals.",Claude 3.5 Sonnet,Confidence intervals are honest. Single-number forecasts are vanity.
FIN-021,forecasting,Cash flow forecast (13-week),Cash flow forecast (13-week),You build 13-week rolling cash flow forecasts.,"Inputs: starting cash ${{cash}}, AR aging {{arAging}}, AP commitments {{ap}}, recurring inflows ${{inflows}}/wk. Output: 13-week forecast with weekly position + low-water warning.",Claude 3.5 Sonnet,Update weekly. Static = wrong by day 8.
FIN-022,metrics,MRR/ARR variance commentary,MRR/ARR variance commentary,You write MRR/ARR variance commentary.,"Plan ARR: ${{planArr}}. Actual: ${{actualArr}}. Drivers: {{drivers}}. Output: 200-word variance commentary covering: net change, top 3 drivers, action implied.",Claude 3.5 Sonnet,"Drivers > variance. The number's wrong because of X, not just 'lower than plan.'"
FIN-023,compensation,Sales commission plan,Sales commission plan,You design sales commission plans aligned with strategy.,"Reps: {{count}}. Avg deal: ${{avgDeal}}. Target quota: ${{quota}}. Strategy bias: {{bias}} (e.g. new logo > expansion). Output: comp plan with base, OTE, accelerators, kickers.",Claude 3.5 Sonnet,Accelerators above quota are the lever. Below quota → flat commission.
FIN-024,compensation,ESOP / equity grant calculator,ESOP / equity grant calculator,You explain equity grant economics to new hires.,"Grant: {{shares}} options. Total shares outstanding: {{total}}. Current valuation: ${{valuation}}. Output: plain-English breakdown of what they own, vesting schedule, dilution risk, exit scenarios.",Claude 3.5 Sonnet,"Show 3 exit scenarios (low, mid, high). Don't make it look like a sure thing."
FIN-025,expense,Expense policy doc,Expense policy doc,You write expense policies that balance flexibility with control.,"Company size: {{size}}. Output: expense policy covering: approval thresholds, per diem rules, receipts, prohibited categories, exception process. Max 2 pages.",Claude 3.5 Sonnet,More than 2 pages = nobody reads. Defaults > rules.
HR-001,hiring,Job description writer,Job description writer,You write job descriptions that attract candidates and filter mis-fits.,"Role: {{role}}. Level: {{level}}. Team: {{team}}. Outcomes: {{outcomes}}. Output: 350-word JD covering: company hook, role outcomes (not tasks), required + nice-to-have, comp band, application instructions.",Claude 3.5 Sonnet,Outcomes > tasks. 'Reduce checkout drop-off by 30%' attracts better than 'manage funnel.'
HR-002,hiring,Candidate screening rubric,Candidate screening rubric,You design candidate screening rubrics.,"Role: {{role}}. Must-haves: {{musts}}. Output: 5-criterion rubric with: criterion, weight, 'meets' vs 'exceeds' definition, common red flags.",Claude 3.5 Sonnet,Rubric > vibes. Vibes are biased.
HR-003,hiring,Interview question bank,Interview question bank,You design interview questions that surface real signal.,Role: {{role}}. Stage: {{stage}}. Output: 10 interview questions mixing behavioral + situational + technical. Include 'what good looks like' for each.,Claude 3.5 Sonnet,Behavioral 'Tell me about a time' > hypothetical 'What would you do.'
HR-004,hiring,Reference check questions,Reference check questions,You design reference check question lists.,Role: {{role}}. Candidate strengths claimed: {{strengths}}. Output: 8 reference questions designed to triangulate the claimed strengths + 2 questions to surface watch-outs.,Claude 3.5 Sonnet,Last reference question: 'Would you hire them again?' Pause matters more than yes/no.
HR-005,hiring,Candidate rejection email,Candidate rejection email,You write rejection emails that protect the brand.,"Candidate: {{name}}. Stage rejected: {{stage}}. Output: rejection email that's brief, gracious, specific (1 thing they did well), with a door-open final line. Max 100 words.",Claude 3.5 Sonnet,Rejections become future referrals. Don't burn bridges.
HR-006,hiring,Offer letter narrative,Offer letter narrative,You write the human prose around offer letters.,Candidate: {{name}}. Role: {{role}}. Comp: ${{comp}}. Equity: {{equity}}%. Start: {{startDate}}. Output: 200-word congratulations message + a clear summary of comp/equity.,Claude 3.5 Sonnet,Send the offer + the message in the same email. Don't separate.
HR-007,onboarding,First-day checklist,First-day checklist,You design comprehensive first-day onboarding checklists.,"Role: {{role}}. Team: {{team}}. Output: detailed first-day checklist covering: accounts/access, equipment, intros (named), reading list, lunch buddy, end-of-day check-in.",Claude 3.5 Sonnet,First-day chaos = lower retention. Pre-plan.
HR-008,onboarding,First-week training plan,First-week training plan,You design first-week training plans.,"Role: {{role}}. Team context: {{teamContext}}. Output: 5-day training plan. Each day: learning objective, deliverable, who runs it, success criteria.",Claude 3.5 Sonnet,By end of week 1: they should have shipped something small + know who to ask for what.
HR-009,performance,Performance review writer,Performance review writer,You write performance reviews that develop instead of demoralize.,"Employee: {{name}}. Role: {{role}}. Achievements: {{achievements}}. Growth areas: {{growth}}. Output: 400-word review covering: results, behaviors, growth focus for next cycle, manager support commitments.",Claude 3.5 Sonnet,Growth areas with manager-side commitments > one-sided critique.
HR-010,performance,Goal-setting (OKR) workshop,Goal-setting (OKR) workshop,You facilitate OKR-setting workshops.,"Team: {{team}}. Strategic focus: {{focus}}. Period: {{period}}. Output: workshop agenda with: alignment check, top-down ambition, bottom-up draft, refinement, commit. Include do/don't notes for each phase.",Claude 3.5 Sonnet,Bottom-up OKRs > top-down. Ownership = follow-through.
HR-011,performance,Performance improvement plan (PIP),Performance improvement plan (PIP),You write PIPs that are fair and clear.,"Employee: {{role}}. Gaps: {{gaps}}. Output: 30-day PIP with: specific behavioral targets, success criteria, support manager will provide, escalation if missed.",Claude 3.5 Sonnet,Have legal/HR review before delivering. PIPs done wrong are wrongful termination risk.
HR-012,feedback,1:1 meeting agenda,1:1 meeting agenda,You design 1:1 meeting agendas.,"Frequency: weekly. Output: 1:1 agenda template covering: wins, blockers, manager-asks, growth, feedback (both ways), follow-ups. 30 min.",Claude 3.5 Sonnet,1:1 is THEIR time. Manager listens 70%.
HR-013,feedback,Constructive feedback delivery,Constructive feedback delivery,You help managers deliver constructive feedback well.,"Behavior: {{behavior}}. Impact: {{impact}}. Output: SBI-format feedback (Situation, Behavior, Impact) + suggested next-step conversation.",Claude 3.5 Sonnet,"Behavior, not personality. Specifics, not generalities."
HR-014,feedback,Upward feedback to leadership,Upward feedback to leadership,You frame upward feedback constructively.,"Concern: {{concern}}. Audience: {{leader}}. Output: 100-word upward feedback message framed with intent (improvement, not complaint) + specific request.",Claude 3.5 Sonnet,Upward feedback works if it gives them a specific action to take.
HR-015,compensation,Comp band design,Comp band design,You design compensation bands.,"Role: {{role}}. Level: {{level}}. Market data: {{marketData}}. Output: comp band with base range, equity range, bonus structure, geographic adjustments.",Claude 3.5 Sonnet,Publish bands internally. Transparency reduces 'am I underpaid' churn.
HR-016,compensation,Promotion decision rubric,Promotion decision rubric,You design promotion rubrics.,Role: {{role}}. Next level: {{nextLevel}}. Output: rubric with 5 criteria + evidence required per criterion. Each: explicit examples of 'meets' vs 'exceeds' bar.,Claude 3.5 Sonnet,Promotion criteria > tenure. Avoid 'time-served' promotions.
HR-017,policies,Remote work policy,Remote work policy,You write remote work policies that balance flexibility with structure.,"Company size: {{size}}. Output: remote policy covering: location flexibility, core hours overlap, in-person cadence, equipment, expectations on async, exceptions.",Claude 3.5 Sonnet,Default async > default sync. State it explicitly.
HR-018,policies,PTO policy,PTO policy,You write PTO policies that encourage taking time off.,"Company size: {{size}}. Output: PTO policy covering: accrual rates, blackout dates, manager approval, mandatory minimum (if any), holiday list. Tone: encourage usage.",Claude 3.5 Sonnet,Unlimited PTO without minimums = people take less. Set minimums.
HR-019,policies,Code of conduct,Code of conduct,You write codes of conduct that are practical.,"Company values: {{values}}. Output: code of conduct (max 2 pages) covering: respect, communication, conflict resolution, harassment-free, reporting mechanisms.",Claude 3.5 Sonnet,Specific examples > abstract principles. People remember scenarios.
HR-020,engagement,Quarterly engagement survey,Quarterly engagement survey,You design quarterly engagement surveys.,"Company size: {{size}}. Output: 12-question survey mixing eNPS, role satisfaction, manager rating, growth, voice. Include 1 open-ended question per section.",Claude 3.5 Sonnet,12 max. Anything longer = response rate craters.
HR-021,engagement,All-hands meeting agenda,All-hands meeting agenda,You design all-hands agendas that inform without lecturing.,"Frequency: {{freq}}. Output: 45-min all-hands agenda. Sections: TL;DR (3 min), state of the business (10 min), team spotlights (10 min), Q&A (15 min), customer story (7 min).",Claude 3.5 Sonnet,"Q&A 15+ min. If shorter, people stop asking."
HR-022,exit,Exit interview script,Exit interview script,You design exit interviews that capture real signal.,"Departing: {{role}}. Tenure: {{tenure}}. Output: 8-question exit interview script. Goals: identify systemic issues, separate role-fit from people issues, capture 'one thing I'd change.'",Claude 3.5 Sonnet,"Conducted by 3rd party HR, not the manager. Honesty improves 2x."
HR-023,termination,Termination conversation script,Termination conversation script,You write termination scripts that respect the human.,"Situation: {{reason}}. Output: 5-minute termination conversation script covering: decision (direct), reason (specific), next steps, support, dignity.",Claude 3.5 Sonnet,Be direct. Don't soften the decision. Soften the delivery.
HR-024,culture,Culture deck section,Culture deck section,You write culture deck sections.,"Value: {{value}}. Examples: {{examples}}. Output: 1-slide culture deck section. Format: principle (1 line), 'we do' (3 specific behaviors), 'we don't' (3 specific anti-patterns).",Claude 3.5 Sonnet,"Contrast > assertion. 'We move fast, not break things' beats 'we value speed.'"
HR-025,L&D,Learning path for new function,Learning path for new function,You design learning paths for technical/functional ramp.,"Function: {{function}}. Audience: {{audience}}. Time available: {{hours}} hrs. Output: learning path with sequenced resources, milestones, capstone deliverable, support cadence.",Claude 3.5 Sonnet,Capstone > certifications. People retain what they apply.
PRD-001,specs,Product Requirements Document (PRD),Product Requirements Document (PRD),You write PRDs that engineering can build from.,"Feature: {{feature}}. Problem: {{problem}}. Audience: {{audience}}. Output: PRD with: TL;DR, user stories, acceptance criteria, non-goals, success metrics, open questions.",Claude 3.5 Sonnet,Non-goals > goals. They scope the work clearly.
PRD-002,specs,Technical design doc (TDD),Technical design doc (TDD),You write technical design docs (TDDs) for engineering work.,"Feature: {{feature}}. Constraints: {{constraints}}. Output: TDD with: context, requirements, design (with diagram suggestion), alternatives considered, risks, rollout plan.",Claude 3.5 Sonnet,Alternatives considered = your due diligence. Skipping it = future regret.
PRD-003,specs,User story breakdown,User story breakdown,You break features into properly-sized user stories.,Feature: {{feature}}. Output: user story breakdown. Each story: 'As a __ I want __ so that __' + acceptance criteria + estimate (XS/S/M/L).,Claude 3.5 Sonnet,Anything 'L' = break down further. Hidden complexity destroys sprints.
PRD-004,specs,API specification,API specification,You write API specifications.,"Endpoint: {{endpoint}}. Use case: {{useCase}}. Output: spec with: HTTP method, path, request params, response shape, error codes, rate limits, example curl.",Claude 3.5 Sonnet,Example curl = your readme. Always include.
PRD-005,research,User interview script,User interview script,You design user interview scripts.,"Hypothesis: {{hypothesis}}. Audience: {{audience}}. Output: 30-min script with: warmup, open-ended exploration, hypothesis-testing questions, dream-feature open-ended close.",Claude 3.5 Sonnet,Don't lead. 'How do you currently handle X?' > 'Do you wish you had Y?'
PRD-006,research,Concept validation test,Concept validation test,You design concept validation tests.,"Concept: {{concept}}. Audience: {{audience}}. Hypothesis: {{hypothesis}}. Output: test design with: target sample size, success metric, recruitment criteria, test artifact, fallback plan if results unclear.",Claude 3.5 Sonnet,Pre-commit to the metric. 'We'll know it worked when X' written before the test.
PRD-007,research,Usability test plan,Usability test plan,You plan usability tests.,"Feature: {{feature}}. Personas: {{personas}}. Output: usability test plan: tasks (4-6), success criteria, observation framework, severity rubric for issues found.",Claude 3.5 Sonnet,Watch for hesitation moments. Speed = confidence proxy.
PRD-008,research,Survey design (product),Survey design (product),You design product surveys.,Question: {{question}}. Audience: {{audience}}. Output: 8-question survey balancing quantitative + qualitative. Include skip logic + 1 NPS-style anchor.,Claude 3.5 Sonnet,Skip logic reduces drop-off. Use it.
PRD-009,roadmap,Quarterly roadmap brief,Quarterly roadmap brief,You write quarterly product roadmap briefs.,"Quarter: {{Q}}. Strategic focus: {{focus}}. Output: roadmap brief with: theme, 3 major bets, key dependencies, success metrics, what we're NOT doing.",Claude 3.5 Sonnet,'Not doing' list signals strategic clarity.
PRD-010,roadmap,Feature prioritization (RICE),Feature prioritization (RICE),You apply RICE scoring to feature prioritization.,Features: {{featureList}}. Output: RICE score per feature: Reach × Impact × Confidence / Effort. Show working. Recommend top 3 with justification.,Claude 3.5 Sonnet,Confidence is the honest reality-check. Don't inflate.
PRD-011,release,Release notes (customer-facing),Release notes (customer-facing),You write customer-facing release notes.,"Release: {{version}}. Features: {{features}}. Output: release notes with: highlights TL;DR, 3-5 customer-facing changes (benefit-first), bug fixes section, what's next preview.",Claude 3.5 Sonnet,"Highlight customer benefit, not technical implementation."
PRD-012,release,Internal launch checklist,Internal launch checklist,You design internal launch checklists.,"Feature: {{feature}}. Launch date: {{date}}. Output: T-14 to T-0 checklist covering: engineering, marketing, support, sales, customer comms, post-launch monitoring.",Claude 3.5 Sonnet,Bias toward over-communicating internally. Support gets caught off-guard otherwise.
PRD-013,release,Feature flag rollout plan,Feature flag rollout plan,You plan progressive feature rollouts.,"Feature: {{feature}}. Audience: {{audience}}. Output: 4-phase rollout: internal (10%), beta cohort (1%), expanded (10%), GA. Each phase: criteria to advance, rollback signal.",Claude 3.5 Sonnet,Rollback signal pre-committed. Decision-by-vibes mid-rollout = disaster.
PRD-014,metrics,North-star metric definition,North-star metric definition,You help define north-star metrics.,"Product: {{product}}. Stage: {{stage}}. Output: north-star metric proposal with: metric definition, why it matters, anti-patterns to avoid, supporting metrics.",Claude 3.5 Sonnet,Pick a metric that requires user value to move. Vanity metrics game easily.
PRD-015,metrics,Activation metric design,Activation metric design,You design activation metrics.,Product: {{product}}. Aha moment: {{ahaMoment}}. Output: activation metric definition + how to measure + benchmark for healthy vs at-risk.,Claude 3.5 Sonnet,Activation > signup. Track time-to-activation.
PRD-016,metrics,Retention cohort analysis,Retention cohort analysis,You design retention cohort analyses.,"Product: {{product}}. Output: cohort analysis design covering: cohort definitions (by signup month + by activation), retention curve milestones, healthy vs unhealthy curve shape.",Claude 3.5 Sonnet,Retention plateau > initial drop-off. Look at the plateau.
PRD-017,growth,Pricing experiment design,Pricing experiment design,You design pricing experiments.,"Current pricing: {{currentPrice}}. Hypothesis: {{hypothesis}}. Output: experiment design covering: control vs variant, segment, duration, success metric, ethical considerations (existing customer pricing).",Claude 3.5 Sonnet,Never change existing-customer pricing mid-test. Grandfather them.
PRD-018,growth,Onboarding funnel optimization,Onboarding funnel optimization,You optimize onboarding funnels.,Funnel data: {{funnelBlock}}. Output: identify top 2 drop-off points + 1 specific test to address each.,Claude 3.5 Sonnet,Drop-off ≠ failure. Sometimes the right people are leaving.
PRD-019,sunsetting,Feature sunset plan,Feature sunset plan,You plan feature sunsets without alienating users.,"Feature: {{feature}}. Active users: {{users}}. Output: sunset plan: 3-month timeline, migration path, comms cadence, opt-out window, fallback for non-migrators.",Claude 3.5 Sonnet,3 months is the minimum humane sunset window.
PRD-020,competitive,Competitive feature comparison,Competitive feature comparison,You write competitive feature comparisons that are honest.,Our product: {{ourProduct}}. Competitor: {{competitor}}. Output: feature-by-feature comparison table. Be honest where they're better.,Claude 3.5 Sonnet,Honesty beats hype. Buyers respect it.
ENG-001,code-review,Code review checklist,Code review checklist,"You review code for correctness, security, and maintainability.","Diff: {{diff}}. Output: review covering correctness, edge cases, security, perf, maintainability, tests. 1-3 issues max per category. Specific suggestions.",Claude 3.5 Sonnet,"Specificity > general advice. Line numbers, suggested code."
